rank,nameWithOwner,stars,language,isArchived,isFork,createdAt
187,tesseract-ocr/tesseract,73108,C++,False,False,2014-08-12T18:04:59Z
188,PaddlePaddle/PaddleOCR,73042,Python,False,False,2020-05-08T10:38:16Z
189,twitter/the-algorithm,72923,Scala,False,False,2023-03-27T14:57:57Z
190,grafana/grafana,72797,TypeScript,False,False,2013-12-11T15:59:56Z
191,CompVis/stable-diffusion,72763,Jupyter Notebook,False,False,2022-08-10T14:36:44Z
192,enaqx/awesome-react,72515,,False,False,2014-08-06T05:31:44Z
193,thedaviddias/Front-End-Checklist,72396,,False,False,2017-10-16T10:12:36Z
194,openai/openai-cookbook,72344,Jupyter Notebook,False,False,2022-03-11T02:08:53Z
195,dair-ai/Prompt-Engineering-Guide,72241,MDX,False,False,2022-12-16T16:04:50Z
196,ocornut/imgui,72177,C++,False,False,2014-07-21T14:29:47Z
197,python/cpython,72100,Python,False,False,2017-02-10T19:23:51Z
198,josephmisiti/awesome-machine-learning,72084,Python,False,False,2014-07-15T19:11:19Z
199,abi/screenshot-to-code,72056,TypeScript,False,False,2023-11-14T17:53:32Z
200,PKUFlyingPig/cs-self-learning,72007,HTML,False,False,2021-10-20T13:43:42Z
201,strapi/strapi,71687,TypeScript,False,False,2015-09-30T15:34:48Z
202,moby/moby,71561,Go,False,False,2013-01-18T18:10:57Z
203,pallets/flask,71380,Python,False,False,2010-04-06T11:11:59Z
204,obsproject/obs-studio,71167,C,False,False,2013-10-01T02:40:31Z
205,apache/superset,71108,TypeScript,False,False,2015-07-21T18:55:34Z
206,caddyserver/caddy,71088,Go,False,False,2015-01-13T19:45:03Z
207,protocolbuffers/protobuf,71008,C++,False,False,2014-08-26T15:52:15Z
208,hakimel/reveal.js,70853,JavaScript,False,False,2011-06-07T18:54:22Z
209,fffaraz/awesome-cpp,70441,,False,False,2014-07-17T08:51:11Z
210,daytonaio/daytona,70396,TypeScript,False,False,2024-02-06T08:21:20Z
211,binary-husky/gpt_academic,70302,Python,False,False,2023-03-20T09:05:13Z
212,swiftlang/swift,69877,Swift,False,False,2015-10-23T21:15:07Z
213,Eugeny/tabby,69800,TypeScript,False,False,2016-12-23T09:06:10Z
214,binhnguyennus/awesome-scalability,69786,,False,False,2017-12-27T03:46:40Z
215,OpenHands/OpenHands,69738,Python,False,False,2024-03-13T03:33:31Z
216,danielmiessler/SecLists,69713,PHP,False,False,2012-02-19T01:30:18Z
217,nektos/act,69514,Go,False,False,2019-01-02T19:53:43Z
218,hiyouga/LlamaFactory,69036,Python,False,False,2023-05-28T10:09:12Z
219,expressjs/express,68886,JavaScript,False,False,2009-06-26T18:56:01Z
220,AppFlowy-IO/AppFlowy,68788,Dart,False,False,2021-06-16T12:56:48Z
221,base/node,68667,Go,False,False,2023-02-01T13:55:02Z
222,ansible/ansible,68381,Python,False,False,2012-03-06T14:58:02Z
223,openai/codex,67505,Rust,False,False,2025-04-13T05:37:54Z
224,chartjs/Chart.js,67305,JavaScript,False,False,2013-03-17T23:56:36Z
225,prakhar1989/awesome-courses,67244,,False,False,2014-11-15T18:36:49Z
226,juliangarnier/anime,66939,JavaScript,False,False,2016-03-13T21:37:45Z
227,toeverything/AFFiNE,66574,TypeScript,False,False,2022-07-31T18:45:21Z
228,leonardomso/33-js-concepts,66293,JavaScript,False,False,2018-09-04T13:27:04Z
229,FoundationAgents/MetaGPT,66135,Python,False,False,2023-06-30T09:04:55Z
230,labmlai/annotated_deep_learning_paper_implementations,66131,Python,False,False,2020-08-25T02:29:34Z
231,NationalSecurityAgency/ghidra,66128,Java,False,False,2019-03-01T03:27:48Z
232,TapXWorld/ChinaTextbook,66068,Roff,False,False,2020-01-05T04:11:06Z
233,apache/echarts,66018,TypeScript,False,False,2013-04-03T03:18:59Z
234,webpack/webpack,66013,JavaScript,False,False,2012-03-10T10:08:14Z
235,xtekky/gpt4free,65921,Python,False,False,2023-03-29T17:00:43Z
236,scikit-learn/scikit-learn,65515,Python,False,False,2010-08-17T09:43:38Z
237,sindresorhus/awesome-nodejs,65407,,False,False,2014-07-11T13:35:34Z
238,lydiahallie/javascript-questions,65313,,False,False,2019-06-12T08:26:27Z
239,TheAlgorithms/Java,65278,Java,False,False,2016-07-16T10:21:02Z
240,bradtraversy/design-resources-for-developers,65101,,False,False,2020-05-06T14:40:35Z
241,kelseyhightower/nocode,65052,Dockerfile,False,False,2018-02-06T23:54:00Z
242,kdn251/interviews,64937,Java,False,False,2017-02-14T18:19:25Z
243,localstack/localstack,64810,Python,True,False,2016-10-25T23:48:03Z
244,chrislgarry/Apollo-11,64707,Assembly,False,False,2014-04-03T15:45:02Z
245,facebook/docusaurus,64266,TypeScript,False,False,2017-06-20T16:13:53Z
246,keras-team/keras,63926,Python,False,False,2015-03-28T00:35:42Z
247,OpenBB-finance/OpenBB,63551,Python,False,False,2020-12-20T10:46:38Z
248,prometheus/prometheus,63290,Go,False,False,2012-11-24T11:14:12Z
249,alacritty/alacritty,63117,Rust,False,False,2016-02-18T05:02:30Z
250,socketio/socket.io,62976,TypeScript,False,False,2010-03-11T18:24:48Z
251,openinterpreter/open-interpreter,62853,Python,False,False,2023-07-14T07:10:44Z
252,resume/resume.github.com,62817,JavaScript,False,False,2011-02-06T13:39:55Z
253,unclecode/crawl4ai,62548,Python,False,False,2024-05-09T09:48:50Z
254,pathwaycom/pathway,62547,Python,False,False,2022-11-27T13:01:14Z
255,nocodb/nocodb,62534,TypeScript,False,False,2017-10-29T18:51:48Z
256,traefik/traefik,62361,Go,False,False,2015-09-13T19:04:02Z
257,gorhill/uBlock,62311,JavaScript,False,False,2015-04-01T17:51:11Z
258,rust-lang/rustlings,62293,Rust,False,False,2015-09-15T02:25:18Z
259,ryanoasis/nerd-fonts,62176,CSS,False,False,2014-12-05T04:31:17Z
260,msitarzewski/agency-agents,62068,Shell,False,False,2025-10-13T12:12:29Z
261,FuelLabs/sway,61857,Rust,False,False,2021-01-19T20:54:33Z
262,tldr-pages/tldr,61788,Markdown,False,False,2013-12-08T07:34:43Z
263,lodash/lodash,61577,JavaScript,False,False,2012-04-07T04:11:46Z
264,LadybirdBrowser/ladybird,61476,C++,False,False,2024-05-30T09:18:10Z
265,reduxjs/redux,61457,TypeScript,False,False,2015-05-29T23:53:15Z
266,BurntSushi/ripgrep,61376,Rust,False,False,2016-03-11T02:02:33Z
267,atom/atom,61003,JavaScript,True,False,2012-01-20T18:18:21Z
268,scrapy/scrapy,60950,Python,False,False,2010-02-22T02:01:14Z
269,youngyangyang04/leetcode-master,60872,Shell,False,False,2019-12-14T12:05:42Z
270,xingshaocheng/architect-awesome,60841,,False,False,2018-04-06T13:30:58Z
271,h5bp/Front-end-Developer-Interview-Questions,60814,Nunjucks,False,False,2012-02-09T23:34:10Z
272,minio/minio,60550,Go,True,False,2015-01-14T19:23:58Z
273,commaai/openpilot,60419,Python,False,False,2016-11-24T01:33:30Z
274,adam-p/markdown-here,60171,JavaScript,False,False,2012-05-13T03:27:22Z
275,jgraph/drawio-desktop,60027,JavaScript,False,False,2017-05-25T20:58:42Z
276,Asabeneh/30-Days-Of-Python,59999,Python,False,False,2019-11-19T17:24:16Z
277,nuxt/nuxt,59926,TypeScript,False,False,2016-10-26T11:18:47Z
278,git/git,59899,C,False,False,2008-07-23T14:21:26Z
279,jquery/jquery,59868,JavaScript,False,False,2009-04-03T15:20:14Z
280,spring-projects/spring-framework,59784,Java,False,False,2010-12-08T04:04:45Z
281,CorentinJ/Real-Time-Voice-Cloning,59560,Python,False,False,2019-05-26T08:56:15Z
282,topjohnwu/Magisk,59508,Kotlin,False,False,2016-09-08T12:42:53Z
283,Solido/awesome-flutter,59392,Dart,False,False,2017-05-07T11:45:27Z
284,cline/cline,59338,TypeScript,False,False,2024-07-06T07:28:10Z
285,shadowsocks/shadowsocks-windows,59281,C#,False,False,2013-01-14T07:54:16Z
286,meta-llama/llama,59260,Python,False,False,2023-02-14T09:29:12Z
287,pathwaycom/llm-app,59128,Jupyter Notebook,False,False,2023-07-19T08:43:37Z
288,angular/angular.js,58897,JavaScript,True,False,2010-01-06T00:34:37Z
289,PlexPt/awesome-chatgpt-prompts-zh,58818,,False,False,2022-12-12T01:55:03Z
290,FiloSottile/mkcert,58362,Go,False,False,2018-06-25T05:33:03Z
291,rails/rails,58341,Ruby,False,False,2008-04-11T02:19:47Z
292,FFmpeg/FFmpeg,58290,C,False,False,2011-04-14T14:12:38Z
293,usememos/memos,58191,Go,False,False,2021-12-08T15:30:18Z
294,unslothai/unsloth,58140,Python,False,False,2023-11-29T16:50:09Z
295,withastro/astro,57862,TypeScript,False,False,2021-03-15T17:19:47Z
296,sharkdp/bat,57810,Rust,False,False,2018-04-21T10:52:23Z
297,pmndrs/zustand,57523,TypeScript,False,False,2019-04-09T09:10:06Z
298,h5bp/html5-boilerplate,57409,JavaScript,False,False,2010-01-24T18:03:24Z
299,dani-garcia/vaultwarden,57280,Rust,False,False,2018-02-17T22:40:20Z
300,FuelLabs/fuel-core,57261,Rust,False,False,2020-08-27T21:12:14Z
301,scutan90/DeepLearning-500-questions,57254,JavaScript,False,False,2018-06-27T06:36:45Z
302,zylon-ai/private-gpt,57193,Python,False,False,2023-05-02T09:15:31Z
303,opendatalab/MinerU,57167,Python,False,False,2024-02-29T08:52:34Z
304,pocketbase/pocketbase,57112,Go,False,False,2022-07-05T06:06:21Z
305,ultralytics/yolov5,57084,Python,False,False,2020-05-18T03:45:11Z
306,soimort/you-get,56835,Python,False,False,2012-08-20T15:53:36Z
307,meilisearch/meilisearch,56725,Rust,False,False,2018-04-23T11:45:28Z
308,Mintplex-Labs/anything-llm,56704,JavaScript,False,False,2023-06-04T02:29:14Z
309,docling-project/docling,56472,Python,False,False,2024-07-09T07:50:26Z
310,rust-unofficial/awesome-rust,56353,Rust,False,False,2014-07-17T10:45:10Z
311,remix-run/react-router,56333,TypeScript,False,False,2014-05-16T22:22:51Z
312,pi-hole/pi-hole,56268,Shell,False,False,2014-06-08T15:02:55Z
313,rclone/rclone,56253,Go,False,False,2014-03-16T16:19:57Z
314,ageitgey/face_recognition,56230,Python,False,False,2017-03-03T21:52:39Z
315,microsoft/autogen,56187,Python,False,False,2023-08-18T11:43:45Z
316,RVC-Boss/GPT-SoVITS,56111,Python,False,False,2024-01-14T18:05:21Z
317,gatsbyjs/gatsby,55949,JavaScript,False,False,2015-05-21T22:43:05Z
318,Textualize/rich,55874,Python,False,False,2019-11-10T15:28:09Z
319,tiimgreen/github-cheat-sheet,55846,,False,False,2014-04-12T16:38:42Z
320,azl397985856/leetcode,55814,JavaScript,False,False,2018-03-30T09:13:51Z
321,wasabeef/awesome-android-ui,55724,,False,False,2014-12-24T01:45:03Z
322,golang-standards/project-layout,55629,Makefile,False,False,2017-09-09T16:33:26Z
323,karpathy/nanoGPT,55565,Python,False,False,2022-12-28T00:51:12Z
324,FoundationAgents/OpenManus,55470,Python,False,False,2025-03-06T14:08:14Z
325,karpathy/autoresearch,55345,Python,False,False,2026-03-06T22:00:43Z
326,Z4nzu/hackingtool,55308,Python,False,False,2020-04-11T09:21:31Z
327,appwrite/appwrite,55290,TypeScript,False,False,2019-04-08T16:36:25Z
328,AntonOsika/gpt-engineer,55229,Python,False,False,2023-04-29T12:52:15Z
329,starship/starship,55224,Rust,False,False,2019-04-02T03:23:12Z
330,deepfakes/faceswap,55069,Python,False,False,2017-12-19T09:44:13Z
331,ultralytics/ultralytics,54980,Python,False,False,2022-09-11T16:39:45Z
332,microsoft/ai-agents-for-beginners,54949,Jupyter Notebook,False,False,2024-11-28T10:42:52Z
333,marktext/marktext,54700,JavaScript,False,False,2017-11-12T16:05:25Z
334,go-gitea/gitea,54481,Go,False,False,2016-11-01T02:13:26Z
335,lencx/ChatGPT,54367,Rust,False,False,2022-12-07T09:43:02Z
336,ElemeFE/element,54190,Vue,False,False,2016-09-03T06:19:26Z
337,maybe-finance/maybe,54050,Ruby,True,False,2024-01-01T22:23:46Z
338,laurent22/joplin,54044,TypeScript,False,False,2017-01-16T21:49:41Z
339,psf/requests,53871,Python,False,False,2011-02-13T18:38:17Z
340,facebookresearch/segment-anything,53774,Jupyter Notebook,False,False,2023-03-23T17:03:03Z
341,necolas/normalize.css,53770,CSS,False,False,2011-05-04T10:20:25Z
342,wagoodman/dive,53643,Go,False,False,2018-05-13T15:44:01Z
343,romkatv/powerlevel10k,53483,Shell,False,False,2019-02-24T19:09:45Z
344,vuejs/core,53311,TypeScript,False,False,2018-06-12T13:49:36Z
345,ngosang/trackerslist,53293,,False,False,2016-04-24T11:57:57Z
346,Zie619/n8n-workflows,53184,Python,False,False,2025-05-14T08:43:59Z
347,firstcontributions/first-contributions,53164,,False,False,2016-09-20T14:35:09Z
348,cloudcommunity/Free-Certifications,53096,,False,False,2020-07-31T10:26:19Z
349,harry0703/MoneyPrinterTurbo,53062,Python,False,False,2024-03-11T02:57:34Z
